A15 Australia
A1 None Specified
A2 Afghanistan
A3 Åland Islands
A4 Albania
A5 Algeria
A6 American Samoa
A7 Andorra
A8 Angola
A9 Anguilla
A10 Antarctica
A11 Antigua and Barbuda
A12 Argentina
A13 Armenia
A14 Aruba
A16 Austria
A17 Azerbaijan
A18 Bahamas
A19 Bahrain
A20 Bangladesh
A21 Barbados
A22 Belarus
A23 Belgium
A24 Belize
A25 Benin
A26 Bermuda
A27 Bhutan
A28 Bolivia; Plurinational State
A29 Bosnia and Herzegovina
A30 Botswana
A31 Bouvet Island
A32 Brazil
A33 British Indian Ocean Territory
A34 Brunei Darussalam
A35 Bulgaria
A36 Burkina Faso
A37 Burma
A38 Burundi
A39 Cambodia
A40 Cameroon
A41 Canada
A42 Cape Verde
A43 Cayman Islands
A44 Central African Republic
A45 Chad
A46 Channel Islands
A47 Chile
A48 China
A49 Christmas Island
A50 Cocos (Keeling) Islands
A51 Colombia
A52 Comoros
A53 Congo; Democratic Republic of
A54 Congo; Republic of
A55 Cook Islands
A56 Costa Rica
A57 Cote D'Ivoire
A58 Croatia
A59 Cuba
A60 Curacao
A61 Cyprus
A62 Czech Republic
A63 Denmark
A64 Djibouti
A65 Dominica
A66 Dominican Republic
A67 Ecuador
A68 Egypt
A69 El Salvador
A70 Equatorial Guinea
A71 Eritrea
A72 Estonia
A73 Ethiopia
A74 Falkland Islands (Malvinas)
A75 Faroe Islands
A76 Fiji
A77 Finland
A78 France
A79 French Guiana
A80 French Polynesia
A81 French Southern Territories
A82 Gabon
A83 Gambia
A84 Georgia
A85 Germany
A86 Ghana
A87 Gibraltar
A88 Greece
A89 Greenland
A90 Grenada
A91 Guadeloupe
A92 Guam
A93 Guatemala
A94 Guernsey
A95 Guinea
A96 Guinea-Bissau
A97 Guyana
A98 Haiti
A99 Heard and McDonald Islands
A100 Holy See (Vatican City State)
A101 Honduras
A102 Hong Kong
A103 Hungary
A104 Iceland
A105 India
A106 Indonesia
A107 Iran; Islamic Republic of
A108 Iraq
A109 Ireland
A110 Isle of Man
A111 Israel
A112 Italy
A113 Jamaica
A114 Japan
A115 Jersey
A116 Jordan
A117 Kazakhstan
A118 Kenya
A119 Kiribati
A120 Korea; Democratic People's Republic Of (North)
A121 Korea; Republic Of (South)
A122 Kosovo
A123 Kuwait
A124 Kyrgyzstan
A125 Lao People's Democratic Republic
A126 Latvia
A127 Lebanon
A128 Lesotho
A129 Liberia
A130 Libyan Arab Jamahiriya
A131 Liechtenstein
A132 Lithuania
A133 Luxembourg
A134 Macau
A135 Macedonia
A136 Macedonia; the Former Yugoslav Republic
A137 Madagascar
A138 Malawi
A139 Malaysia
A140 Maldives; Repulic of
A141 Mali
A142 Malta
A143 Marshall Islands
A144 Martinique
A145 Mauritania
A146 Mauritius
A147 Mayotte
A148 Mexico
A149 Micronesia; Federated States of
A150 Moldova; Republic of
A151 Monaco
A152 Mongolia
A153 Montenegro
A154 Montserrat
A155 Morocco
A156 Mozambique
A157 Myanmar
A158 Namibia
A159 Nauru
A160 Nepal
A161 Netherlands
A162 Netherlands Antilles
A163 New Caledonia
A164 New Zealand
A165 Nicaragua
A166 Niger
A167 Nigeria
A168 Niue
A169 Norfolk Island
A170 Northern Mariana Islands
A171 Norway
A172 Oman
A173 Pakistan
A174 Palau
A175 Palestinian Territory; Occupied
A176 Panama
A177 Papua New Guinea
A178 Paraguay
A179 Peru
A180 Philippines
A181 Pitcairn
A182 Poland
A183 Portugal
A184 Puerto Rico
A185 Qatar
A186 Reunion
A187 Romania
A188 Russian Federation
A189 Rwanda
A190 Saint Barthélemy
A191 Saint Helena; Ascension and Tristan Da Cunha
A192 Saint Kitts and Nevis
A193 Saint Lucia
A194 Saint Martin
A195 Saint Pierre And Miquelon
A196 Saint Vincent and Grenadines
A197 Samoa
A198 San Marino
A199 Sao Tome and Principe
A200 Saudi Arabia
A201 Senegal
A202 Serbia
A203 Seychelles
A204 Sierra Leone
A205 Singapore
A206 Slovakia
A207 Slovenia
A208 Solomon Islands
A209 Somalia
A210 South Africa
A211 South Georgia and the South Sandwich Islands
A212 Spain
A213 Sri Lanka
A214 Sudan
A215 Suriname
A216 Svalbard And Jan Mayen
A217 Swaziland
A218 Sweden
A219 Switzerland
A220 Syrian Arab Republic
A221 Taiwan
A222 Tajikistan
A223 Tanzania
A224 Thailand
A225 Timor-Leste
A226 Togo
A227 Tokelau
A228 Tonga
A229 Trinidad and Tobago
A230 Tunisia
A231 Turkey
A232 Turkmenistan
A233 Turks and Caicos Islands
A234 Tuvalu
A235 Uganda
A236 Ukraine
A237 United Arab Emirates
A238 United Kingdom
A239 United States
A240 United States Minor Outlying Islands
A241 Uruguay
A242 Uzbekistan
A243 Vanuatu
A244 Venezuela; Bolivarian Republic of
A245 Vietnam
A246 Virgin Islands; British
A247 Virgin Islands; U.S.
A248 Wallis and Futuna
A249 Western Sahara
A250 Yemen
A251 Zambia
A252 Zimbabwe
